 nol, nog, noth, tq, lv           3          13          20          14       16384
  4.065850797884940E-02  2.272432417624591E-02  9.114528560342844E-03
 -3.088185242663397E-02 -1.275769220608274E-02  2.401696450170462E-02
  1.385985774205832E-02  2.131480056321998E-02  2.177944491534244E-01
 -3.798773390330633E-01  2.098832782870099E-02 -2.176555292956792E-01
 -2.626887938970674E-03  1.362650476262553E-03 -6.700643814481334E-04
 -2.395479255929467E-02 -3.987082860762387E-03  2.586448596000260E-02
 -9.669796825256310E-02  2.069867859680629E-02 -1.263466264111066E-01
  3.485146646053855E-02 -9.639988626864305E-04 -1.641994628806417E-02
  1.414225249096264E-02 -6.624735967012649E-02 -2.930536511173681E-02
 -6.166059561461391E-02 -3.551362494485909E-03  1.732830130685364E-01
 -1.121537111694809E-02 -1.172772441831450E-01 -4.899318513340375E-02
 -7.343772857846692E-01  5.793617535334217E-03 -1.809078947089564E-02
  1.603787906563022E-02  3.020401656398991E-03 -1.528680172949077E-01
 -1.669912607694061E-01  1.548269118819866E-01  1.373855373972546E-01
  2.701575870229319E-02  4.390594873990115E-02 -2.789607732013836E-01
  5.573108091387825E-02 -4.023549023291313E-03  2.712508538121933E-03
 -2.429660070017588E-02 -2.492845147382156E-02  5.001865530896570E-03
 -5.274655558572914E-01  1.779074895896094E-01  3.082660589690305E-01
  2.736564197755187E-01  6.519378089844347E-01 -2.816392438513168E-01
 -1.662210258548356E-01 -7.248769256623414E-04 -1.422628046295671E-01
 Min. of elapsed time in second is:   1.0646369992173277E-003
