 nol, nog, noth, tq, lv           4          26          20          24    16777216
 -1.867664494431219E-01  1.303454979322269E-03 -4.291919611039632E-02
  8.291378776036271E-01 -3.629060158028395E-01  3.303485615023066E-01
  4.619963487027205E-03  1.796498119411819E-03  4.496084690326766E-04
  5.863107789680009E-02 -2.278423746597991E-04 -8.764063703461605E-02
 -8.905459951319464E-02 -3.013098972234783E-02 -9.042936710886268E-02
 -3.844130386311588E-02  1.254212583429978E-02  4.190952307764753E-01
 -5.890881012772574E-02 -1.481548770268937E-01 -2.826360886866347E-02
 -7.599939415393921E-02  1.962589036623401E-02  3.921145399291256E-02
 -5.132545255299442E-03 -2.242328161846475E-02  2.556607713582442E-01
 -1.072794165766864E-01 -8.787563101290764E-02 -3.223873219065793E-01
 -8.321795857006320E-04  2.684697038549409E-04 -2.386411678711610E-03
  1.383590841101232E-02  5.061650806973074E-02  2.054348490826211E-02
  1.814241174431884E-02  6.609479134083190E-02  1.089924445834320E-02
  5.146760255330571E-02 -7.179299128583277E-03 -1.347347516630911E-01
  1.014519234869237E-02  1.826642178898118E-04  1.261189803838400E-02
  3.841650381672018E-03  3.916240248585830E-03 -1.246624736926820E-01
  2.276219312996980E-02 -1.573454753707228E-02 -7.245700719096446E-02
 -3.678202206399186E-03  4.805161122478285E-03  4.681541373317762E-02
 -3.249173914296299E-02  6.992487345119975E-04 -3.783874879542155E-03
 -1.518759706006779E-02  8.886482763314274E-03 -3.680133896457319E-03
 Min. of elapsed time in second is:   2.7703043129995422     
